pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_rade
HD 113538,b,Radial Velocity,263.30000000,0.710000,0.610000,0.27000,,,,196.239487,-52.442924,15.71,9.070,4020.00,0.56,0.74,HD 113538,HIP 63833,
HD 113538,c,Radial Velocity,1657.00000000,2.430000,0.320000,0.71000,,,,196.239487,-52.442924,15.71,9.070,4020.00,0.56,0.74,HD 113538,HIP 63833,
HD 114386,b,Radial Velocity,937.70000000,1.650000,0.230000,1.24000,,,,197.665924,-35.054783,28.04,8.715,4690.00,0.70,0.84,HD 114386,HIP 64295,
HD 114386,c,Radial Velocity,1046.00000000,,0.060000,1.18622,,,,197.665924,-35.054783,28.04,8.715,4690.00,0.70,0.84,HD 114386,HIP 64295,
HD 114729,b,Radial Velocity,1114.00000000,2.110000,0.167000,0.95000,,,,198.184402,-31.873348,35.00,6.695,5920.00,1.11,1.38,HD 114729,HIP 64459,
HD 114762,b,Radial Velocity,83.88800000,0.363000,0.335900,11.68000,,,,198.082260,17.517122,40.57,7.301,6210.00,1.22,1.08,HD 114762,HIP 64426,
HD 114783,b,Radial Velocity,493.70000000,1.160000,0.144000,1.10000,,,,198.182434,-2.265040,20.43,7.563,4990.00,0.75,0.85,HD 114783,HIP 64457,
HD 11506,b,Radial Velocity,1271.00000000,2.430000,0.220000,3.44000,,,,28.210558,-19.506975,53.82,7.513,5910.00,1.11,1.46,HD 11506,HIP 8770,
HD 11506,c,Radial Velocity,170.60000000,0.639000,0.420000,0.82000,,,,28.210558,-19.506975,53.82,7.513,5910.00,1.11,1.46,HD 11506,HIP 8770,
HD 116029,b,Radial Velocity,670.20000000,1.730000,0.210000,2.10000,,,,200.164764,24.648699,110.62,7.871,4790.00,,4.57,HD 116029,HIP 65117,
HD 117207,b,Radial Velocity,2597.00000000,3.790000,0.144000,1.88000,,,,202.337967,-35.570995,33.01,7.247,5450.00,0.89,1.25,HD 117207,HIP 65808,
HD 117618,b,Radial Velocity,25.82700000,0.176000,0.420000,0.17800,,,,203.106476,-47.271362,38.02,7.169,5890.00,1.11,1.22,HD 117618,HIP 66047,
HD 118203,b,Radial Velocity,6.13350000,0.070000,0.309000,2.13000,,,,203.510574,53.728531,88.57,8.057,5590.00,0.95,2.15,HD 118203,HIP 66192,
HD 11964,b,Radial Velocity,1945.00000000,3.160000,0.041000,0.62200,,,,29.290026,-10.242428,33.98,6.410,5230.00,0.82,2.11,HD 11964,HIP 9094,
HD 11964,c,Radial Velocity,37.91000000,0.229000,0.300000,0.07880,,,,29.290026,-10.242428,33.98,6.410,5230.00,0.82,2.11,HD 11964,HIP 9094,
HD 11977,b,Radial Velocity,711.00000000,1.930000,0.400000,6.54000,,,,28.733881,-67.647301,66.49,4.690,4940.00,,10.77,HD 11977,HIP 8928,
HD 121504,b,Radial Velocity,63.33000000,0.330000,0.030000,1.22000,,,,209.321823,-56.040043,44.37,7.517,5880.00,1.10,1.22,HD 121504,HIP 68162,
HD 122430,b,Radial Velocity,344.95000000,1.020000,0.680000,3.71000,,,,210.594925,-27.429773,133.16,5.469,4140.00,,28.97,HD 122430,HIP 68581,
HD 125595,b,Radial Velocity,9.67370000,0.080900,,0.04130,,,,215.346603,-40.393948,27.45,9.000,4640.00,0.69,0.75,HD 125595,HIP 70170,
HD 125612,b,Radial Velocity,559.40000000,1.370000,0.460000,3.00000,,,,215.222977,-17.481522,52.83,8.317,5840.00,1.09,1.02,HD 125612,HIP 70123,
HD 125612,c,Radial Velocity,4.15470000,0.050000,0.270000,0.05800,,,,215.222977,-17.481522,52.83,8.317,5840.00,1.09,1.02,HD 125612,HIP 70123,
HD 125612,d,Radial Velocity,3008.00000000,4.200000,0.280000,7.20000,,,,215.222977,-17.481522,52.83,8.317,5840.00,1.09,1.02,HD 125612,HIP 70123,
HD 126525,b,Radial Velocity,948.12000000,1.810500,0.130000,0.22400,,,,216.887375,-51.933086,38.05,7.840,5560.00,0.94,1.04,HD 126525,HIP 70695,
HD 12661,b,Radial Velocity,262.70900000,0.831000,0.376800,2.30000,,,,31.142866,25.414305,37.16,7.425,5470.00,0.90,1.28,HD 12661,HIP 9683,
HD 12661,c,Radial Velocity,1708.00000000,2.900000,0.031000,1.92000,,,,31.142866,25.414305,37.16,7.425,5470.00,0.90,1.28,HD 12661,HIP 9683,
HD 126614,b,Radial Velocity,1244.00000000,2.350000,0.410000,0.38000,,,,216.701172,-5.177780,68.35,8.788,5100.00,0.78,1.52,HD 126614,HIP 70623,
HD 128311,b,Radial Velocity,454.20000000,1.086000,0.345000,1.45000,,,,219.002335,9.746518,16.57,7.487,4860.00,0.73,0.78,HD 128311,HIP 71395,
HD 128311,c,Radial Velocity,923.80000000,1.745000,0.230000,3.24000,,,,219.002335,9.746518,16.57,7.487,4860.00,0.73,0.78,HD 128311,HIP 71395,
HD 129445,b,Radial Velocity,1840.00000000,2.900000,0.700000,1.60000,,,,221.512772,-68.762749,67.61,8.787,5310.00,0.84,1.35,HD 129445,HIP 72203,
HD 130322,b,Radial Velocity,10.70850000,0.089600,0.011000,1.04000,,,,221.886368,-0.281476,29.76,8.031,5290.00,0.84,0.85,HD 130322,HIP 72339,
HD 131496,b,Radial Velocity,883.00000000,2.090000,0.163000,2.20000,,,,223.345947,18.235401,121.36,7.799,4790.00,,5.19,HD 131496,HIP 72845,
HD 131664,b,Radial Velocity,1951.00000000,3.170000,0.638000,18.15000,,,,225.025314,-73.535339,57.21,8.128,5590.00,0.95,1.35,HD 131664,HIP 73408,
HD 13189,b,Radial Velocity,471.60000000,1.850000,0.270000,14.00000,,,,32.417381,32.316437,300.30,7.556,3960.00,,30.18,HD 13189,HIP 10085,
HD 132406,b,Radial Velocity,974.00000000,1.980000,0.340000,5.61000,,,,224.227707,53.382168,70.97,8.467,5780.00,1.05,1.31,HD 132406,HIP 73146,
HD 132563,b,Radial Velocity,1544.00000000,2.620000,0.220000,1.49000,,,,224.589661,44.043148,98.52,8.928,6110.00,1.19,1.29,HD 132563,HIP 73261A,
HD 134060,b,Radial Velocity,3.27000000,0.044400,0.400000,0.03510,,,,227.686432,-61.422321,24.15,6.300,5780.00,1.05,1.21,HD 134060,HIP 74273,
HD 134060,c,Radial Velocity,1160.90000000,2.226300,0.750000,0.15070,,,,227.686432,-61.422321,24.15,6.300,5780.00,1.05,1.21,HD 134060,HIP 74273,
HD 134606,b,Radial Velocity,12.08300000,0.102300,0.150000,0.02920,,,,228.812683,-70.519623,26.91,6.854,5400.00,0.87,1.25,HD 134606,HIP 74653,
HD 134606,c,Radial Velocity,59.51900000,0.296200,0.290000,0.03820,,,,228.812683,-70.519623,26.91,6.854,5400.00,0.87,1.25,HD 134606,HIP 74653,
HD 134606,d,Radial Velocity,459.26000000,1.156700,0.460000,0.12100,,,,228.812683,-70.519623,26.91,6.854,5400.00,0.87,1.25,HD 134606,HIP 74653,
HD 134987,b,Radial Velocity,258.19000000,0.810000,0.233000,1.59000,,,,228.369446,-25.309347,25.65,6.450,5560.00,0.94,1.33,HD 134987,HIP 74500,
HD 134987,c,Radial Velocity,5000.00000000,5.800000,0.120000,0.82000,,,,228.369446,-25.309347,25.65,6.450,5560.00,0.94,1.33,HD 134987,HIP 74500,
HD 136352,b,Radial Velocity,11.57700000,0.093300,0.180000,0.01660,,,,230.450623,-48.317627,14.56,5.650,5720.00,1.02,1.01,HD 136352,HIP 75181,
HD 136352,c,Radial Velocity,27.58200000,0.166500,0.160000,0.03580,,,,230.450623,-48.317627,14.56,5.650,5720.00,1.02,1.01,HD 136352,HIP 75181,
HD 136352,d,Radial Velocity,106.72000000,0.411000,0.430000,0.03000,,,,230.450623,-48.317627,14.56,5.650,5720.00,1.02,1.01,HD 136352,HIP 75181,
HD 136418,b,Radial Velocity,464.30000000,1.320000,0.255000,2.00000,,,,229.775757,41.733208,106.38,7.879,4970.00,,3.90,HD 136418,HIP 74961,
HD 137388,b,Radial Velocity,330.00000000,0.890000,0.360000,0.22300,,,,233.916367,-80.204590,38.45,8.696,5060.00,0.77,0.92,HD 137388A,HIP 76351,
HD 13808,b,Radial Velocity,14.18200000,0.101700,0.170000,0.03250,,,,33.178856,-53.743893,28.60,8.381,5160.00,0.80,0.74,HD 13808,HIP 10301,
HD 13808,c,Radial Velocity,53.83200000,0.247600,0.430000,0.03600,,,,33.178856,-53.743893,28.60,8.381,5160.00,0.80,0.74,HD 13808,HIP 10301,
HD 13931,b,Radial Velocity,4218.00000000,5.150000,0.020000,1.88000,,,,34.197414,43.772995,45.52,7.597,5740.00,1.04,1.28,HD 13931,HIP 10626,
HD 139357,b,Radial Velocity,1125.70000000,2.360000,0.100000,9.76000,,,,233.817490,53.922142,121.36,5.964,4490.00,,15.03,HD 139357,HIP 76311,
HD 141937,b,Radial Velocity,653.22000000,1.520000,0.410000,9.70000,,,,238.073120,-18.436066,33.46,7.250,5810.00,1.07,1.07,HD 141937,HIP 77740,
HD 142,b,Radial Velocity,349.70000000,1.020000,0.170000,1.25000,,,,1.579898,-49.075191,25.64,5.700,6403.00,1.23,1.47,HD 142,HIP 522,
HD 142,c,Radial Velocity,6005.00000000,6.800000,0.210000,5.30000,,,,1.579898,-49.075191,25.64,5.700,6403.00,1.23,1.47,HD 142,HIP 522,
HD 142022 A,b,Radial Velocity,1928.00000000,3.030000,0.530000,5.10000,,,,242.562592,-84.231613,35.87,7.655,5280.00,0.83,1.22,HD 142022A,HIP 79242,
HD 142245,b,Radial Velocity,1299.00000000,2.770000,0.320000,1.90000,,,,238.234497,15.430708,106.38,7.452,4760.00,,5.44,HD 142245,HIP 77783,
HD 142415,b,Radial Velocity,386.30000000,1.050000,0.500000,1.62000,,,,239.419968,-60.200256,34.57,7.327,5780.00,1.05,1.08,HD 142415,HIP 78169,
HD 143361,b,Radial Velocity,1057.00000000,2.000000,0.150000,3.12000,,,,240.459778,-44.434536,59.35,9.225,5280.00,0.83,0.98,HD 143361,HIP 78521,
HD 145377,b,Radial Velocity,103.95000000,0.450000,0.307000,5.76000,,,,242.901855,-27.078173,55.19,8.095,5750.00,1.04,1.23,HD 145377,HIP 79346,
HD 145457,b,Radial Velocity,176.30000000,0.760000,0.112000,2.90000,,,,242.516312,26.742750,126.10,6.566,4760.00,,9.69,HD 145457,HIP 79219,
HD 1461,b,Radial Velocity,5.77270000,0.063438,0.140000,0.02400,,,,4.674448,-8.053001,23.44,6.460,5620.00,0.97,1.17,HD 1461,HIP 1499,
HD 1461,c,Radial Velocity,13.50500000,0.111700,0.000000,0.01860,,,,4.674448,-8.053001,23.44,6.460,5620.00,0.97,1.17,HD 1461,HIP 1499,
HD 147018,b,Radial Velocity,44.23600000,0.238800,0.468600,2.12000,,,,245.750610,-61.688763,42.68,8.301,5350.00,0.85,1.04,HD 147018,HIP 80250,
HD 147018,c,Radial Velocity,1008.00000000,1.922000,0.133000,6.56000,,,,245.750610,-61.688763,42.68,8.301,5350.00,0.85,1.04,HD 147018,HIP 80250,
HD 147513,b,Radial Velocity,528.40000000,1.320000,0.260000,1.21000,,,,246.005371,-39.192982,12.87,5.390,5820.00,1.07,0.97,HD 147513,HIP 80337,
HD 148156,b,Radial Velocity,1027.00000000,2.450000,0.520000,0.85000,,,,247.072006,-46.317623,53.05,7.689,6010.00,1.15,1.28,HD 148156,HIP 80680,
HD 148427,b,Radial Velocity,331.50000000,0.930000,0.160000,0.96000,,,,247.117294,-13.399640,59.28,6.895,4940.00,,3.48,HD 148427,HIP 80687,
HD 149026,b,Radial Velocity,2.87589110,0.042880,0.000000,0.36800,0.85000,88.000,,247.623413,38.347309,78.86,8.137,6160.00,1.35,1.54,HD 149026,HIP 80838,9.113
HD 149143,b,Radial Velocity,4.07200000,0.053000,0.016000,1.33000,,,,248.212708,2.084832,63.49,7.893,5660.00,0.99,1.61,HD 149143,HIP 81022,
HD 149382,b,Radial Velocity,2.39100000,,0.000000,15.50000,,39.000,,248.597229,-4.014449,76.51,,,,,HD 149382,HIP 81145,
HD 1502,b,Radial Velocity,431.80000000,1.310000,0.101000,3.10000,,,,4.821110,14.054755,167.50,8.342,4950.00,,5.02,HD 1502,HIP 1547,
HD 150433,b,Radial Velocity,1096.20000000,1.930300,0.000000,0.16800,,,,250.284225,-2.857277,29.55,7.210,5750.00,1.04,0.99,HD 150433,HIP 81681,
HD 152079,b,Radial Velocity,2097.00000000,3.200000,0.600000,3.00000,,,,253.373901,-46.332958,85.18,9.156,5410.00,0.88,1.36,HD 152079,HIP 82632,
HD 152581,b,Radial Velocity,689.00000000,1.480000,0.220000,1.50000,,,,253.431595,11.973746,182.82,8.347,5040.00,,5.17,HD 152581,HIP 82651,
HD 153950,b,Radial Velocity,499.40000000,1.280000,0.340000,2.73000,,,,256.128632,-43.309769,51.87,7.390,6070.00,1.18,1.40,HD 153950,HIP 83547,
HD 154088,b,Radial Velocity,18.59600000,0.131600,0.380000,0.01930,,,,256.116028,-28.582678,18.08,6.580,5210.00,0.81,1.05,HD 154088,HIP 83541,
HD 154345,b,Radial Velocity,3342.00000000,4.190000,0.044000,0.94700,,,,255.651688,47.081882,18.06,6.769,5430.00,0.89,0.86,HD 154345,HIP 83389,
HD 154672,b,Radial Velocity,163.90000000,0.600000,0.610000,5.02000,,,,257.520477,-56.449268,65.79,8.204,5530.00,0.93,1.54,HD 154672,HIP 83983,
HD 154857,b,Radial Velocity,409.00000000,1.200000,0.470000,1.80000,,,,257.815521,-56.680798,68.54,7.238,5570.00,0.94,2.45,HD 154857,HIP 84069,
HD 155358,b,Radial Velocity,194.30000000,0.640000,0.170000,0.85000,,,,257.394226,33.355854,43.40,7.270,6180.00,1.21,1.19,HD 155358,HIP 83949,
HD 155358,c,Radial Velocity,391.90000000,1.020000,0.160000,0.82000,,,,257.394226,33.355854,43.40,7.270,6180.00,1.21,1.19,HD 155358,HIP 83949,
HD 156279,b,Radial Velocity,131.05000000,0.495000,0.708000,9.71000,,,,258.096680,63.352093,35.37,8.077,5270.00,0.83,1.00,HD 156279,HIP 84171,
HD 156411,b,Radial Velocity,842.00000000,,,0.75000,,,,259.964172,-48.549320,55.10,6.673,5890.00,1.11,2.22,HD 156411,HIP 84787,
HD 156668,b,Radial Velocity,4.64550000,0.050000,0.000000,0.01300,,,,259.418701,29.227226,24.05,8.424,4840.00,0.72,0.74,HD 156668,HIP 84607,
HD 156846,b,Radial Velocity,359.55460000,1.096000,0.847850,10.57000,,,,260.142944,-19.333746,49.00,6.520,5960.00,1.13,2.06,HD 156846,HIP 84856,
HD 157172,b,Radial Velocity,104.84000000,0.416000,0.460000,0.12000,,,,260.644012,-19.616180,33.48,7.859,5340.00,0.85,1.01,HD 157172,HIP 85017,
HD 158038,b,Radial Velocity,521.00000000,1.520000,0.291000,1.80000,,,,261.439301,27.303341,114.15,7.464,4740.00,,5.88,HD 158038,HIP 85294,
HD 159868,b,Radial Velocity,986.00000000,2.000000,0.690000,1.70000,,,,264.748016,-43.145515,52.72,7.242,5510.00,0.92,1.94,HD 159868,HIP 86375,
HD 160691,b,Radial Velocity,643.25000000,1.497000,0.128000,1.67600,,,,266.036255,-51.834053,15.28,5.150,5560.00,0.94,1.44,HD 160691,HIP 86796,
HD 160691,c,Radial Velocity,4205.80000000,5.235000,0.098500,1.81400,,,,266.036255,-51.834053,15.28,5.150,5560.00,0.94,1.44,HD 160691,HIP 86796,
HD 160691,d,Radial Velocity,9.63860000,0.090940,0.172000,0.03321,,,,266.036255,-51.834053,15.28,5.150,5560.00,0.94,1.44,HD 160691,HIP 86796,
HD 160691,e,Radial Velocity,310.55000000,0.921000,0.066600,0.52190,,,,266.036255,-51.834053,15.28,5.150,5560.00,0.94,1.44,HD 160691,HIP 86796,
HD 16141,b,Radial Velocity,75.52300000,0.363000,0.252000,0.26000,,,,38.833035,-3.560602,35.91,6.818,5620.00,0.97,1.52,HD 16141,HIP 12048,
HD 16175,b,Radial Velocity,990.00000000,2.100000,0.590000,4.40000,,,,39.257961,42.062634,59.84,7.282,5740.00,1.03,1.94,HD 16175,HIP 12191,
HD 162020,b,Radial Velocity,8.42819800,0.074000,0.277000,14.40000,,,,267.659821,-40.318348,31.26,9.118,4870.00,0.73,0.69,HD 162020,HIP 87330,
HD 163607,b,Radial Velocity,75.22900000,0.360000,0.730000,0.77000,,,,268.418732,56.391956,69.44,7.979,5330.00,0.85,1.99,HD 163607,HIP 87601,
HD 163607,c,Radial Velocity,1314.00000000,2.420000,0.120000,2.29000,,,,268.418732,56.391956,69.44,7.979,5330.00,0.85,1.99,HD 163607,HIP 87601,
HD 16417,b,Radial Velocity,17.24000000,0.140000,0.200000,0.06960,,,,39.244198,-34.577976,25.54,5.790,5680.00,1.00,1.69,HD 16417,HIP 12186,
HD 164509,b,Radial Velocity,282.40000000,0.875000,0.260000,0.48000,,,,270.380127,0.104556,51.81,8.103,5820.00,1.07,1.11,HD 164509,HIP 88268,
HD 164604,b,Radial Velocity,606.40000000,1.300000,0.240000,2.70000,,,,270.778900,-28.560644,37.98,9.827,4580.00,0.70,0.79,HD 164604,HIP 88414,
HD 164922,b,Radial Velocity,1155.00000000,2.110000,0.050000,0.36000,,,,270.628601,26.313002,21.92,6.990,5230.00,0.82,1.04,HD 164922,HIP 88348,
HD 166724,b,Radial Velocity,8100.00000000,,0.770000,4.12187,,,,273.498657,-42.575375,42.99,9.344,5140.00,0.80,0.73,HD 166724,HIP 89354,
HD 167042,b,Radial Velocity,412.60000000,1.300000,0.027000,1.70000,,,,272.631836,54.286552,50.00,5.940,4960.00,,4.50,HD 167042,HIP 89047,
HD 16760,b,Radial Velocity,465.10000000,1.130000,0.067000,14.30000,,,,40.588810,38.618668,50.18,8.765,5590.00,0.95,0.88,HD 16760,HIP 12638,
HD 168443,b,Radial Velocity,58.11289000,0.300000,0.528600,8.02000,,,,275.016388,-9.595722,37.88,6.917,5460.00,0.90,1.66,HD 168443,HIP 89844,
HD 168443,c,Radial Velocity,1749.50000000,2.910000,0.212000,18.10000,,,,275.016388,-9.595722,37.88,6.917,5460.00,0.90,1.66,HD 168443,HIP 89844,
HD 168746,b,Radial Velocity,6.40300000,0.065000,0.081000,0.23000,,,,275.457428,-11.922684,43.12,7.946,5500.00,0.91,1.15,HD 168746,HIP 90004,
HD 1690,b,Radial Velocity,533.00000000,1.300000,0.640000,6.10000,,,,5.305497,-8.281169,7.01,9.173,4170.00,,0.27,HD 1690,HIP 1692,
HD 169830,b,Radial Velocity,225.62000000,0.810000,0.310000,2.88000,,,,276.956177,-29.816866,36.32,5.902,6260.00,1.24,1.81,HD 169830,HIP 90485,
HD 169830,c,Radial Velocity,2102.00000000,3.600000,0.330000,4.04000,,,,276.956177,-29.816866,36.32,5.902,6260.00,1.24,1.81,HD 169830,HIP 90485,
HD 170469,b,Radial Velocity,1145.00000000,2.100000,0.110000,0.67000,,,,277.295746,11.695502,64.98,8.176,5610.00,0.96,1.48,HD 170469,HIP 90593,
HD 17092,b,Radial Velocity,359.90000000,1.290000,0.166000,4.60000,,,,41.592153,49.653075,,7.732,,,,HD 17092,,
HD 171028,b,Radial Velocity,538.00000000,1.290000,0.610000,1.83000,,,,278.064552,6.945749,,8.292,,,,HD 171028,,
HD 171238,b,Radial Velocity,1523.00000000,2.540000,0.400000,2.60000,,,,278.681976,-28.072313,44.05,8.652,5390.00,0.87,0.90,HD 171238,HIP 91085,
HD 17156,b,Radial Velocity,21.21663000,0.161400,0.681900,3.19100,3.78000,86.890,,42.435364,71.753235,78.25,8.162,6100.00,1.27,1.50,HD 17156,HIP 13192,12.184
HD 173416,b,Radial Velocity,323.60000000,1.160000,0.210000,2.70000,,,,280.900452,36.556606,134.95,6.037,4740.00,,13.45,HD 173416,HIP 91852,
HD 175167,b,Radial Velocity,1290.00000000,2.400000,0.540000,7.80000,,,,285.003479,-69.944244,67.02,8.000,5330.00,0.85,1.90,HD 175167,HIP 93281,
HD 175541,b,Radial Velocity,297.30000000,1.030000,0.330000,0.61000,,,,283.920349,4.265325,127.55,8.010,5050.00,0.77,4.19,HD 175541,HIP 92895,
HD 176051,b,Astrometry,1016.00000000,,,1.50000,,,,284.256714,32.901272,14.98,5.278,6060.00,1.18,1.07,HD 176051,HIP 93017A,
HD 177830,b,Radial Velocity,406.60000000,1.221800,0.009000,1.49000,,,,286.336548,25.920660,59.03,7.177,4670.00,,3.65,HD 177830,HIP 93746,
HD 177830,c,Radial Velocity,110.90000000,0.513700,0.300000,0.15000,,,,286.336548,25.920660,59.03,7.177,4670.00,,3.65,HD 177830,HIP 93746,
HD 178911 B,b,Radial Velocity,71.48700000,0.320000,0.124300,6.29200,,,,287.262939,34.599850,46.73,7.792,5400.00,0.88,1.40,HD 178911B,HIP 94075,
HD 179079,b,Radial Velocity,14.47600000,0.110000,0.115000,0.08000,,,,287.790955,-2.638385,63.69,7.959,5540.00,0.93,1.66,HD 179079,HIP 94256,
HD 179949,b,Radial Velocity,3.09250000,0.045000,0.022000,0.95000,,,,288.888458,-24.179352,27.05,6.245,6120.00,1.19,1.21,HD 179949,HIP 94645,
HD 180314,b,Radial Velocity,396.03000000,1.400000,0.257000,22.00000,,,,288.709198,31.860350,131.75,6.608,4810.00,,9.61,HD 180314,HIP 94576,
HD 180902,b,Radial Velocity,479.00000000,1.390000,0.090000,1.60000,,,,289.823792,-23.558155,114.55,7.778,4980.00,,4.37,HD 180902,HIP 94951,
HD 181342,b,Radial Velocity,663.00000000,1.780000,0.177000,3.30000,,,,290.267639,-23.619572,115.47,7.551,4820.00,,5.42,HD 181342,HIP 95124,
HD 181433,b,Radial Velocity,9.37430000,0.080000,0.396000,0.02380,,,,291.289856,-66.468796,26.15,8.400,4770.00,0.71,0.86,HD 181433,HIP 95467,
HD 181433,c,Radial Velocity,962.00000000,1.760000,0.280000,0.64000,,,,291.289856,-66.468796,26.15,8.400,4770.00,0.71,0.86,HD 181433,HIP 95467,
HD 181433,d,Radial Velocity,2172.00000000,3.000000,0.480000,0.54000,,,,291.289856,-66.468796,26.15,8.400,4770.00,0.71,0.86,HD 181433,HIP 95467,
HD 181720,b,Radial Velocity,956.00000000,,,0.37000,,,,290.720764,-32.919056,55.93,7.849,5950.00,1.12,1.28,HD 181720,HIP 95262,
HD 183263,b,Radial Velocity,634.23000000,1.520000,0.380000,3.69000,,,,292.102386,8.358054,52.83,7.861,5710.00,1.02,1.33,HD 183263,HIP 95740,
HD 183263,c,Radial Velocity,2950.00000000,4.250000,0.253000,3.82000,,,,292.102386,8.358054,52.83,7.861,5710.00,1.02,1.33,HD 183263,HIP 95740,
HD 185269,b,Radial Velocity,6.83800000,0.077000,0.300000,0.94000,,,,294.298920,28.499865,47.37,6.669,5900.00,1.11,1.91,HD 185269,HIP 96507,
HD 187085,b,Radial Velocity,986.00000000,2.050000,0.470000,0.75000,,,,297.391541,-37.780552,44.98,7.214,6010.00,1.16,1.35,HD 187085,HIP 97546,
HD 187123,b,Radial Velocity,3.09700000,0.042000,0.030000,0.52000,,,,296.742126,34.419525,47.92,7.832,5700.00,1.00,1.23,HD 187123,HIP 97336,
HD 187123,c,Radial Velocity,3810.00000000,4.890000,0.252000,1.99000,,,,296.742126,34.419525,47.92,7.832,5700.00,1.00,1.23,HD 187123,HIP 97336,
HD 18742,b,Radial Velocity,772.00000000,1.920000,0.230000,2.70000,,,,45.044407,-20.802603,127.88,7.814,5000.00,0.76,4.74,HD 18742,HIP 13993,
HD 188015,b,Radial Velocity,456.46000000,1.190000,0.150000,1.26000,,,,298.018921,28.100376,52.63,8.234,5500.00,0.91,1.23,HD 188015,HIP 97769,
HD 189567,b,Radial Velocity,14.27500000,0.109900,0.230000,0.03160,,,,301.386505,-67.320900,17.72,6.070,5750.00,1.04,1.00,HD 189567,HIP 98959,
HD 189733,b,Radial Velocity,2.21857578,0.031420,0.000000,1.15000,1.00400,85.780,,300.182129,22.710854,19.25,7.676,5040.00,0.84,0.75,HD 189733,HIP 98505,12.902
HD 190228,b,Radial Velocity,1127.00000000,2.310000,0.430000,4.99000,,,,300.753235,28.306856,62.11,7.296,5280.00,0.83,2.49,HD 190228,HIP 98714,
HD 190360,b,Radial Velocity,2891.00000000,3.920000,0.360000,1.50200,,,,300.905853,29.896805,15.89,5.700,5500.00,0.91,1.19,HD 190360,HIP 98767,
HD 190360,c,Radial Velocity,17.10000000,0.128000,0.010000,0.05700,,,,300.905853,29.896805,15.89,5.700,5500.00,0.91,1.19,HD 190360,HIP 98767,
HD 190647,b,Radial Velocity,1038.10000000,2.070000,0.180000,1.90000,,,,301.831970,-35.538631,54.23,7.775,5380.00,0.86,1.66,HD 190647,HIP 99115,
HD 190984,b,Radial Velocity,4885.00000000,,,3.10000,,,,302.877991,-64.620468,189.39,8.761,6060.00,1.18,2.73,HD 190984,HIP 99496,
HD 192263,b,Radial Velocity,24.34800000,0.150000,0.000000,0.72000,,,,303.499359,-0.866877,19.89,7.768,4930.00,0.74,0.79,HD 192263,HIP 99711,
HD 192310,b,Radial Velocity,74.72000000,0.320000,0.130000,0.05318,,,,303.822449,-27.032976,8.82,5.730,5090.00,0.78,0.81,HD 192310,HIP 99825,
HD 192310,c,Radial Velocity,525.80000000,1.180000,0.320000,0.07552,,,,303.822449,-27.032976,8.82,5.730,5090.00,0.78,0.81,HD 192310,HIP 99825,
HD 192699,b,Radial Velocity,351.50000000,1.160000,0.149000,2.50000,,,,304.025024,4.580795,67.39,6.446,5120.00,0.79,4.37,HD 192699,HIP 99894,
HD 195019,b,Radial Velocity,18.20163000,0.138800,0.014000,3.70000,,,,307.077637,18.769497,37.35,6.892,5670.00,0.99,1.50,HD 195019,HIP 100970,
HD 196050,b,Radial Velocity,1289.00000000,2.500000,0.280000,3.00000,,,,309.465454,-60.634483,46.93,7.493,5660.00,0.98,1.43,HD 196050,HIP 101806,
HD 196067,b,Radial Velocity,4100.00000000,,0.630000,7.10158,,,,310.433716,-75.350800,43.57,6.030,5820.00,,2.43,HD 196067,HIP 102125,
HD 196885,b,Radial Velocity,1333.00000000,2.370000,0.480000,2.58000,,,,309.966156,11.249649,32.99,6.386,6130.00,1.19,1.38,HD 196885,HIP 101966,
HD 197037,b,Radial Velocity,1035.70000000,2.070000,0.220000,0.79000,,,,309.887329,42.248550,32.83,6.813,6290.00,1.25,1.06,HD 197037,HIP 101948,
HD 19994,b,Radial Velocity,535.70000000,1.420000,0.300000,1.68000,,,,48.193485,-1.196101,22.38,5.060,6000.00,1.15,1.82,HD 19994,HIP 14954,
HD 20003,b,Radial Velocity,11.84900000,0.097400,0.400000,0.03780,,,,46.907997,-72.321892,43.08,8.367,5350.00,0.85,1.02,HD 20003,HIP 14530,
HD 20003,c,Radial Velocity,33.82300000,0.196100,0.160000,0.04220,,,,46.907997,-72.321892,43.08,8.367,5350.00,0.85,1.02,HD 20003,HIP 14530,
HD 200964,b,Radial Velocity,630.60000000,1.710000,0.111000,1.90000,,,,316.666016,3.803119,68.35,6.487,5070.00,0.77,4.48,HD 200964,HIP 104202,
HD 200964,c,Radial Velocity,829.00000000,2.030000,0.113000,1.30000,,,,316.666016,3.803119,68.35,6.487,5070.00,0.77,4.48,HD 200964,HIP 104202,
HD 202206,b,Radial Velocity,255.87000000,0.830000,0.435000,17.40000,,,,318.740692,-20.789209,46.34,8.071,5500.00,0.91,1.17,HD 202206,HIP 104903,
HD 202206,c,Radial Velocity,1383.40000000,2.550000,0.267000,2.44000,,,,318.740692,-20.789209,46.34,8.071,5500.00,0.91,1.17,HD 202206,HIP 104903,
HD 20367,b,Radial Velocity,500.00000000,1.250000,0.230000,1.07000,,,,49.416859,31.127048,27.13,6.399,6030.00,1.17,1.17,HD 20367,HIP 15323,
